block_number,price0,price1
16011716,16467.576471398635,1174.4724949208044
16011766,16489.07559328162,1175.9261758157281
16011816,16489.50894932254,1175.9498814942106
16011866,16484.669223653957,1174.9698920698631
16011916,16482.33444389174,1174.3740237329962
16011966,16482.33444389174,1174.3740237329962
16012016,16466.825238413843,1173.7626222424528
16012066,16465.089466249097,1173.615851697937
16012116,16463.548196778942,1175.2144815535032
16012166,16463.07406885752,1174.8276058465956
16012216,16479.666486149312,1175.7917229282648
16012266,16509.3922586465,1177.6050958717603
16012316,16502.53157392095,1178.1774030642814
16012366,16512.759299111585,1177.6351864065725
16012416,16524.590992052006,1175.7874298311851
16012466,16527.887321682432,1174.6019591268014
16012516,16528.408414877144,1174.4721092561308
16012566,16515.63148101215,1173.726758330625
16012616,16508.815197431915,1173.860251278613
16012666,16518.652958440398,1174.0901206121316
16012716,16522.682011885037,1174.7067042670055
16012766,16524.86532350352,1174.5711987891982
16012816,16524.86532350352,1174.5711987891982
16012866,16525.5879861972,1176.7585065536841
16012916,16493.25457834751,1174.857264665359
16012966,16481.504193549383,1174.61719682237
16013016,16475.19817250713,1175.2626559708312
16013066,16474.398611585897,1175.9888466252637
16013116,16499.262371165965,1175.862985683883
16013166,16513.29417808309,1175.7703350620034
16013216,16513.430406934716,1176.583212819737
16013266,16508.554466664693,1177.4044965042935
16013316,16508.554466664693,1177.4044965042935
16013366,16505.278004625965,1176.6033611442354
16013416,16497.97147268616,1176.3297326412217
16013466,16495.675097910032,1177.7341178945933
16013516,16512.219415476946,1179.4663316329115
16013566,16542.71457229911,1181.909765637747
16013616,16544.065309851347,1180.5599174754466
16013666,16528.080530641564,1179.0609424906888
16013716,16494.400144530657,1177.4318082932018
16013766,16477.736408944784,1177.1231709842075
16013816,16470.217476816215,1176.6924077986673
16013866,16455.707580682934,1175.1761687835929
16013916,16453.94532853406,1174.4559524383212
16013966,16437.314044393228,1172.071740447355
16014016,16409.68327499916,1168.8929545075202
16014066,16393.46742061997,1159.5168998067918
16014116,16297.690880858021,1153.5328827930741
16014166,16259.815405432788,1150.682964187341
16014216,16251.815651631852,1150.3549049774322
16014266,16247.3485164006,1150.051642555308
16014316,16226.234616293776,1147.4269299439259
16014366,16205.28096427381,1143.9061242768594
16014416,16193.967958127776,1143.386849891907
16014466,16166.885163914178,1141.0384205960538
16014516,16166.885163914178,1141.0384205960538
16014566,16119.785071347924,1140.0000455656134
16014616,16113.203553615773,1140.7615366189236
16014666,16111.309478893403,1141.2015283660535
16014716,16099.158414379252,1139.5165017736294
16014766,16072.773175069231,1137.7295273626114
16014816,16059.147731441682,1137.7002686801502
16014866,16048.990026122849,1135.6369551930618
16014916,16058.648459254855,1134.8465117198714
16014966,16063.964982112357,1135.3340919566008
16015016,16101.879130361087,1138.6221963891935
16015066,16112.10236722463,1140.140657455893
16015116,16118.225552704975,1139.4623270356728
16015166,16119.51121166289,1139.037825083659
16015216,16121.547696408115,1138.0865332028598
16015266,16122.010463587305,1137.2419994608454
16015316,16100.444596248619,1132.6557996778538
16015366,16063.278111904123,1125.6622145126153
16015416,15975.069661835607,1124.1413411720273
16015466,15912.91005972565,1121.573329292889
16015516,15907.61274506626,1121.6759063879513
16015566,15890.493199137445,1122.0241298907915
16015616,15908.177139569232,1123.3942552636158
16015666,15902.246099280665,1123.0033145398497
16015716,15885.671558117594,1119.3475461582789
16015766,15881.8718203825,1119.123986660317
16015816,15876.008592172479,1119.7526052431676
16015866,15919.046338887338,1122.2604691208858
16015916,15954.50647634887,1126.6691568440124
16015966,16025.281990216607,1130.9328706822075
16016016,16056.390164376688,1131.9551086402191
16016066,16068.31530178139,1132.1952496815936
16016116,16072.716190153258,1130.6820701062716
16016166,16073.201109327321,1131.028289187243
